table name|LEVEL
tblmaccountnsidetail|1
tblmaccountpackagedetail|1
tblmautorechargeconfiguration|1
tblmccdetail|1
tblmcommissionbatchconf|1
tblmdenomination|1
tblmfraudhistory|1
tblmpinnumberrel|1
tblmpinnumbertypeconf|1
tblmpinnumtypeconfdetail|1
tblmpintype|1
tblmpintypeparameters|1
tblmpintypeparametersrel|1
tblmprintvendor|1
tblmrechargeaccount|1
tblmserialattribute|1
tblmserialattributeparam|1
tblmserialbatchsummary|1
tblmserialprefixlist|1
tblmsrlattributeparamgrp|1
tblmsrlattributeparamgrprel|1
tblmvaluecardtemplate|1
tblmversion|1
tblspinusagemode|1
tblsrechargemastertype|1
tblsserialstatus|1
tblsserialstatustype|1
tblsvouchermastertype|1
tbltborrowhistory|1
tbltcommissionrechargebatch|1
tbltcustomerrechargehistory|1
tbltrechargehistorydetail|1
tbltrechargerequest|1
tbltrechargerequesthistory|1
tbltrechargetaxdetail|1
tbltserialbatchvchcount|1
tbltversionhistory|1
tbltvougeneratedetails|1
tblmpintypesrlattrparamrel|2
tblmrechargemaster|2
tblmserialbatch|2
tblmserialreportstatus|2
tblmserialsubstatus|2
tblmtemplate|2
tblmvouchermaster|2
tbltborrowsettlementhistory|2
tbltcommissionrecbatchdetail|2
tbltserialstatuslog|2
tblmpreregistervoucher|3
tblmserial|3
tblmserialbatchdetail|3
tblmtemplatesrlattrparamrel|3
tblmvoucherbatchgenerate|3
tblmsrlattrtemplate|4
tblmvchschedular|4
tbltvoucherhistory|4
tblmvchmonthlysch|5
tblmvchweeklysch|5
tblmvchyearlysch|5
